,Claude 3 Sonnet,Claude 3.5 Sonnet,Claude 3.7 Sonnet,Claude Sonnet 4,GPT-4o (old),GPT-4o,GPT-4.1,GPT-4.1 Mini,GPT-4.1 Nano,Gemini 2.5 Flash,Gemini 2.5 Flash Lite,Gemini 2.5 Pro
Claude 3 Sonnet,1.0,0.45238739945552603,0.5317380225056662,0.502954544738912,0.4661565276865202,0.26312238282122613,0.24354656784847808,-0.003435914312184298,0.1837047530611434,-0.005054379190462616,0.22632308741614843,0.0987312275515648
Claude 3.5 Sonnet,0.45238739945552603,1.0,0.36178387909329934,0.3200636937887228,0.2540304624591199,0.07635050483344942,-0.11441803694354727,0.07930670122462682,0.25933371320947685,0.07828524184154174,0.3554409324470723,-0.11496981997028859
Claude 3.7 Sonnet,0.5317380225056662,0.36178387909329934,1.0,0.3253691302989584,0.2896792714524114,0.4791709636592501,0.1598168775157324,0.3267964731633001,0.28020259164946315,0.2191320760188004,0.11983881826085911,0.16511921728016904
Claude Sonnet 4,0.502954544738912,0.3200636937887228,0.3253691302989584,1.0,0.20940310463623404,0.024033553245798856,0.22727991294628233,-0.1551342495603138,0.11292499683610376,0.09588542579517205,0.24455649222674317,-0.016844931842396806
GPT-4o (old),0.4661565276865202,0.2540304624591199,0.2896792714524114,0.20940310463623404,1.0,0.17839798864213352,0.23097466363462615,0.2305021580616589,0.29513659529282804,0.17183167493375473,-0.12743014536388533,0.26371683471880886
GPT-4o,0.26312238282122613,0.07635050483344942,0.4791709636592501,0.024033553245798856,0.17839798864213352,1.0,0.21363022740719007,0.48963327021872455,0.509788484510623,0.20453292718634045,-0.029077549778917192,0.08345167998193079
GPT-4.1,0.24354656784847808,-0.11441803694354727,0.1598168775157324,0.22727991294628233,0.23097466363462615,0.21363022740719007,1.0,0.17300702715573085,0.002917147218737972,0.04288474582137168,0.0922222757034269,0.29981904004078724
GPT-4.1 Mini,-0.003435914312184298,0.07930670122462682,0.3267964731633001,-0.1551342495603138,0.2305021580616589,0.48963327021872455,0.17300702715573085,1.0,0.3332981308630275,0.09411433073538962,-0.04655352925440583,0.20391643723643235
GPT-4.1 Nano,0.1837047530611434,0.25933371320947685,0.28020259164946315,0.11292499683610376,0.29513659529282804,0.509788484510623,0.002917147218737972,0.3332981308630275,1.0,0.14194139194139196,-0.14082935685498185,0.32328178806670865
Gemini 2.5 Flash,-0.005054379190462616,0.07828524184154174,0.2191320760188004,0.09588542579517205,0.17183167493375473,0.20453292718634045,0.04288474582137168,0.09411433073538962,0.14194139194139196,1.0,-0.08711931239726495,0.04089462824574515
Gemini 2.5 Flash Lite,0.22632308741614843,0.3554409324470723,0.11983881826085911,0.24455649222674317,-0.12743014536388533,-0.029077549778917192,0.0922222757034269,-0.04655352925440583,-0.14082935685498185,-0.08711931239726495,1.0,0.09063328626165844
Gemini 2.5 Pro,0.0987312275515648,-0.11496981997028859,0.16511921728016904,-0.016844931842396806,0.26371683471880886,0.08345167998193079,0.29981904004078724,0.20391643723643235,0.32328178806670865,0.04089462824574515,0.09063328626165844,1.0
